Qty,Value,Device,Package,Parts,Description
9,PSBD3D60V1H,SCHOTTKY_SOD323,SOD-323,"D1, D2, D3, D4, D5, D6, D7, D8, D9",
3,0.1uf,C-EU_0805,805,"C4, C5, C6","CAPACITOR, European symbol"
2,100nf,C-EU_0805,805,"C2, C25","CAPACITOR, European symbol"
10,10K,RESISTOR0603,603,"R1, R2, R5, R6, R9, R10, R11, R12, R13, R14",Resistors
5,10k,R-EU_R0603,R0603,"R7, R8, R26, R48, R49","RESISTOR, European symbol"
1,10uf / 35v,C-EU_1206,1206,C23,"CAPACITOR, European symbol"
1,10uh,RESISTOR0603,603,L3,Resistors
8,150K,RESISTOR0603,603,"R15, R16, R17, R18, R19, R20, R21, R22",Resistors
2,1µF,CAP_CERAMIC0805,805,"C1, C3",Ceramic Capacitors
1,22-23-2091,22-23-2091,22-23-2091,X1,".100 (2.54mm) Center Header - 9 Pin"""
2,22uf,C-EU_0805,805,"C29, C30","CAPACITOR, European symbol"
1,55k,R-EU_R0603,R0603,R50,"RESISTOR, European symbol"
1,744043100,744043100,INDPM4848X300N,L2,"Inductor SMD WE-TPC 4828 10uH 1.0A Wurth WE-TPC Series Shielded Wire-wound SMD Inductor with a Ferrite Core, 10 uH +/-30% 1.19A Idc"
2,ADS1115IDGST,ADC_ADS1015,MSOP10,"U1, U2",ADS1015 - 12-bit 4-Channel I2C ADC with Internal PGA
1,E73_2G4M04S,E73_2G4M04S,E73_2G4M04S,IC3,E73-2G4M04S nRF52832 based BLE module
1,LD117AS33TR,LD117AS33TR,SOT223,IC1,Low drop fixed and adjustable positive voltage regulators 1 A
1,LMR16006XDDCR,LMR16006XDDCR,SOT95P280X110-6N,IC2,Voltage Regulators - Switching Regulators LMR16006 SIMPLE SWIT 60V Buck
1,NP,JTAG-CORTEXBOXPOSTS,2X05_1.27MM_BOX_POSTS,X4,Serial Wire (SW-DP) Connector
1,NP,MPT4,4POL254,X3,PHOENIX CONNECTOR
2,NP,R-EU_R0603,R0603,"R23, R24","RESISTOR, European symbol"
2,NP,V642,P642,"R3, R4",VALVO NTC
